API URL: https://api.media.ccc.de/public/recordings/93017
Frontend URL: https://media.ccc.de/v/megakc25-2-einblicke-in-den-alltag-eines-rettungssanitaters
Title: Einblicke in den Alltag eines Rettungssanitäters

[MUSIC PLAYING]
[SPEAKING SPANISH]
We have a comment on the presentation in the past,
and we have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
We have a question in the comments.
