API URL: https://api.media.ccc.de/public/recordings/93032
Frontend URL: https://media.ccc.de/v/megakc25-30-orientation-vs-support-rotate-your-3d-prints
Title: Orientation vs Support, rotate your 3D prints!

[MUSIC PLAYING]
[SPEAKS IN SPANISH]
That's correct.
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
Thank you, Sun.
[SPANISH]
[SPANISH]
[SPANISH]
[SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPANISH]
[SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
[SPEAKS IN SPANISH]
