API URL: https://api.media.ccc.de/public/recordings/15467
Frontend URL: https://media.ccc.de/v/c4.openchaos.2017.04.privatheit
Title: Privatheit

(speaks in foreign language)
(speaks in foreign language)
(speaking in foreign language)
(speaking in foreign language)
(speaking in foreign language)
The first thing is that the most important thing that we have to do in the world is that we are not going to be able to do anything but to be able to do anything.
The first thing that we have to do in the world is to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able
I was surprised that this was a super-burdened part of that.
I was surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was surprised that this was the first time I was born.
I was surprised that this was the first time I was born.
I was surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
This was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
I was very surprised that this was the first time I was born.
